generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,70,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
1,68,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
2,76,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
3,66,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
4,72,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
5,72,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
6,66,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
7,60,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
8,67,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
9,68,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
10,64,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
11,67,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,1.2862197421537486e-12
12,60,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
13,64,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
14,70,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
15,72,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
16,66,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
17,74,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
18,68,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
19,62,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
20,59,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
21,67,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
22,67,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
23,62,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
24,74,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
25,58,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
26,72,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
27,56,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
28,70,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
29,74,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
30,68,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
31,60,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
32,72,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
33,64,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
34,66,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,1.2862197421537486e-12
35,70,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
36,70,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
37,66,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
38,70,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
39,70,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
40,68,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,1.2862197421537486e-12
41,58,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,1.2862197421537486e-12
42,66,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,1.2862197421537486e-12
43,72,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,1.2862197421537486e-12
44,70,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,1.2862197421537486e-12
45,73,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,1.2862197421537486e-12
46,70,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
47,63,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
48,71,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
49,69,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
50,62,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
51,63,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
52,72,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
53,66,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
54,70,8.072165672880403e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
55,58,8.072165672880403e-05,8.072165672880404e-05,8.072165672880404e-05,0.0
56,70,8.072165672880403e-05,8.072165672880404e-05,8.072165672880404e-05,0.0
57,66,8.072165672880403e-05,8.072165672880404e-05,8.072165672880404e-05,0.0
58,70,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
59,62,8.072165672880403e-05,8.072165672880404e-05,8.072165672880404e-05,0.0
60,74,8.072165672880403e-05,8.072165672880404e-05,8.072165672880404e-05,0.0
61,58,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
62,70,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
63,58,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
64,72,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
65,68,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
66,66,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
67,64,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
68,70,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
69,64,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
70,70,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
71,73,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
72,75,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
73,64,8.072165672880403e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
74,78,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
75,64,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
76,73,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
77,62,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
78,66,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
79,74,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
80,72,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
81,76,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
82,72,8.072165672880404e-05,8.072165672880407e-05,8.072165672880404e-05,0.0
83,76,8.072165672880404e-05,8.072165672880406e-05,8.072165672880404e-05,0.0
84,68,8.072165672880404e-05,8.072165672880404e-05,8.072165672880404e-05,0.0
